brand_name,tweet_volume,market_saturation,avg_perceived_quality,avg_num_reviews,avg_tweet_sentiment
Al-Hilal,1028,25,1.38,0.84,0.0
Al-Nassr,958,24,1.35,0.75,0.0
Fanatics,502,25,3.12,8.6,0.0
KSA Anime,103,0,0.0,0.0,0.0
KSA One Piece,45,25,2.14,4.12,0.0
Lazurde,1015,25,3.45,294.92,0.0
PIF,560,25,3.91,205.16,0.0
Riyadh Season,625,10,0.5,0.1,0.0
STC,0,25,2.26,16.76,0.0
Saudi Aramco,1008,0,0.0,0.0,0.0
Vacheron Constantin,8,25,1.79,16.72,0.0
